ID;Laufende Nummer des Standorts;Krankenhausstandort;Laufende Nummer des Krankenhauses;Krankenhaus / Tr�gerbereich;Stra�e;Hausnummer;PLZ;Ortsteil;nr_beds;avg_bed_occupancy;latitude;longitude
41;42;Krankenhaus Bethel Berlin;38;Krankenhaus Bethel Berlin;Promenadenstra�e;3 -5;12207;Lichterfelde;276;41,6;52,43254388;13,32599927
42;43;Krankenhaus Waldfriede;39;Krankenhaus Waldfriede;Argentinische Allee;40;14163;Zehlendorf;174;41,6;52,44453714;13,24030277
43;44;Malteser-Krankenhaus;40;Malteser-Krankenhaus;Pillkaller Allee;1;14055;Westend;107;52,4;52,50905417;13,25177125
44;45;Martin-Luther-Krankenhaus;41;Martin-Luther-Krankenhaus;Caspar-They�-Stra�e;27 - 31;14193;Grunewald;339;41,6;52,49070625;13,29091081
45;46;MEDIAN Klinik Berlin-Kladow;42;MEDIAN Klinik Berlin-Kladow;Kladower Damm;223;14089;Kladow;226;51,4;52,46264801;13,16156071
46;47;Park-Klinik Wei�ensee;43;Park-Klinik Wei�ensee;Sch�nstra�e;80;13086;Wei�ensee;358;58,2;52,55527933;13,45154647
47;48;Paulinenkrankenhaus;44;Paulinenkrankenhaus gGmbH;Dickensweg;25 - 39;14055;Westend;148;52,4;52,50803906;13,23391434
48;49;Sana Klinikum Lichtenberg;45;Sana Klinikum Lichtenberg;Fanningerstra�e;32;10365;Lichtenberg;672;54,1;52,51429124;13,49422592
49;50;Schlosspark-Klinik;46;Schlosspark-Klinik;Heubnerweg;2;14059;Charlottenburg;362;52,4;52,52248366;13,28888854
50;51;Sankt Gertrauden-Krankenhaus;47;Sankt Gertrauden-Krankenhaus;Paretzer Stra�e;12;10713;Wilmersdorf;384;52,4;52,48091105;13,31704837
51;52;St. Joseph Krankenhaus Berlin Tempelhof;48;St. Joseph Krankenhaus Berlin Tempelhof;W�sthoffstra�e;15;12101;Tempelhof;680;59,7;52,47853773;13,37238871
52;53;St. Marien-Krankenhaus Berlin;49;St. Marien-Krankenhaus Berlin;Gallwitzallee;123 - 143;12249;Lankwitz;274;41,6;52,42440567;13,3485152
53;54;Vitanas Klinik f�r Geriatrie;50;Vitanas Klinik f�r Geriatrie;Senftenberger Ring;51;13435;M�rkisches Viertel;105;52,3;52,60366826;13,35932353
54;55;Vivantes Ida Wolff Krankenhaus;51;Vivantes Ida Wolff Krankenhaus GmbH;Juchaczweg;21;12351;Buckow;148;45,8;52,43458149;13,45849027
55;56;Vivantes - Klinikum im Friedrichshain;52;Vivantes - Klinikum im Friedrichshain;Landsberger Allee;49;10249;Friedrichshain;955;60,7;52,52469743;13,44071437
56;52;Vivantes - Klinikum Am Urban;52;Vivantes - Klinikum Am Urban;Dieffenbachstra�e;1;10967;Kreuzberg;634;60,7;52,49475125;13,40898513
57;58;Vivantes - Klinikum Kaulsdorf;52;Vivantes - Klinikum Kaulsdorf;Myslowitzer Stra�e;45;12621;Kaulsdorf;466;56;52,50757227;13,59212155
58;59;Vivantes - Klinikum Neuk�lln;52;Vivantes - Klinikum Neuk�lln;Rudower Stra�e;48;12351;Buckow;1377;45,8;52,4379008;13,45967167
59;60;Vivantes - Auguste-Viktoria-Klinikum;52;Vivantes - Auguste-Viktoria-Klinikum;Rubensstra�e;125;12157;Sch�neberg;667;59,7;52,46325478;13,34497734
60;61;Vivantes - Wenckebach-Klinikum;52;Vivantes - Wenckebach-Klinikum;Wenckebachstra�e;23;12099;Tempelhof;288;59,7;52,45936003;13,38813863
61;62;Vivantes - Humboldt-Klinikum;52;Vivantes - Humboldt-Klinikum;Am Nordgraben;2;13509;Wittenau;725;52,3;52,58995901;13,30932791
62;63;Vivantes - Klinikum Spandau;52;Vivantes - Klinikum Spandau;Neue Bergstra�e;6;13585;Spandau;694;51,4;52,54960705;13,20723677
63;64;Westklinik Dahlem;53;Westklinik Dahlem;Clayallee;225B;14195;Dahlem;30;41,6;52,44979234;13,26868168
64;65;ALPIN - Gemeindepsychiatrische Tagesklinik;54;ALPIN - Gemeindepsychiatrische Tagesklinik gGmbH;Berliner Stra�e;13;13507;Tegel;0;52,3;52,58367989;13,28908464
